id,is_oku,bumiputra_status,customer_type,gender,age,Age_Missing_Flag,count_login,count_preview_project,count_preview_unit,count_preview_unit_range,count_creditcheck_complete,count_creditcheck_results,phase_id,township_id,gross_salary,b_form_revenue,commission,total_income,total_income_missing_flag,applicant_rating_dsr,applicant_rating_dsr_missing_flag,applicant_rating_dsr_median,applicant_rating_ccris,applicant_rating_ctos,applicant_rating_overall,employment_type,employer_type,applicant_nationality,income_type,no_of_existing_prop_loan,no_of_existing_prop_loan_missing_flag,dob,tax_pcb,tax_pcb_missing_flag,margin_of_finance,use_preview_price,has_best_matching_bankers,flag_token,flag_has_cheque,flag_bought,customer_group,preview_project_1_day_before_launch_count,preview_unit_1_day_before_launch_count,preview_countdown_before_project_launch_count,creditcheck_results_before_project_launch_count,creditcheck_start_before_project_launch_count,highest_unit_one_day_before_launch_count,login_project_launch_count,no_of_days_between_creation_validation
1301,0,bumiputra,earlybird,Female,35.4384,0,0,2,21,Nov-50,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,6/19/1987,333.85,1,0,0,0,1,0,0,Regular,0,0,0,0,0,0,169,0
5811,0,bumiputra,prime,Female,48.6219,0,0,6,4,4,0,0,82,2,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,4/16/1974,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,3,0,33,0
5947,0,bumiputra,earlybird,Male,33.2685,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,8/19/1989,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,44,0
5959,0,bumiputra,earlybird,Male,39.3315,0,0,2,1,1,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,7/29/1983,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,103,0
5974,0,non-bumiputra,earlybird,Male,29.1288,0,0,0,0,0,0,0,82,1,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,10/8/1993,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,2,0
6056,0,bumiputra,prime,Male,40.2575,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,8/25/1982,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,145,0
7034,0,bumiputra,prime,Male,55.0603,0,0,4,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,11/9/1967,333.85,1,0,0,0,1,1,1,Regular,1,0,0,0,0,0,9,0
7434,0,bumiputra,earlybird,Female,38.7288,0,0,4,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,3/5/1984,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,140,0
8923,0,bumiputra,earlybird,Male,38.7753,0,0,3,3,3,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,2/17/1984,333.85,1,0,0,0,1,0,1,Regular,1,0,0,0,1,0,6,0
10196,0,bumiputra,prime,Male,53.2384,0,0,2,0,0,0,0,82,1,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,9/4/1969,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,10,0
